customer_number,Recency,Frequency,Monetary,label
2784,0,39,558.16,Potential Loyal Customers
2792,1,30,496.63,Potential Loyal Customers
2795,87,17,204.75,Need Attention
2798,3,77,643.96,Loyal Customers
2802,2,116,884.27,Loyal Customers
2807,1,71,437.14,Potential Loyal Customers
2820,4,28,328.96,Potential Loyal Customers
2832,10,59,904.49,Potential Loyal Customers
2833,1,44,539.47,Potential Loyal Customers
2834,29,33,1498.38,Champions
2837,0,183,660.16,Loyal Customers
2842,9,9,251.22,Potential Loyal Customers
2848,36,51,1266.64,Promising Customers
2852,0,63,692.08,Potential Loyal Customers
2856,6,54,504.05,Potential Loyal Customers
2861,1,54,498.86,Potential Loyal Customers
2862,0,25,438.04,Potential Loyal Customers
2865,0,35,471.63,Potential Loyal Customers
2870,6,29,368.79,Potential Loyal Customers
2874,2,66,1417.06,Champions
2880,6,25,245.86,Potential Loyal Customers
2882,1,46,459.72,Potential Loyal Customers
2883,0,75,902.97,Loyal Customers
2888,1,148,1002.15,Loyal Customers
2892,1,159,645.01,Loyal Customers
2897,0,88,914.11,Loyal Customers
2898,18,29,389.16,Potential Loyal Customers
2899,20,37,222.94,Potential Loyal Customers
2901,3,41,600.83,Potential Loyal Customers
2903,16,40,526,Potential Loyal Customers
2905,2,88,502.12,Loyal Customers
2906,1,127,791.37,Loyal Customers
2916,4,61,936.18,Loyal Customers
2917,0,32,388.36,Potential Loyal Customers
2920,1,26,536.08,Potential Loyal Customers
2921,2,56,422.05,Potential Loyal Customers
2922,6,36,483.14,Potential Loyal Customers
2923,6,39,478.34,Potential Loyal Customers
2925,2,49,859.52,Potential Loyal Customers
2928,2,18,1284.47,Champions
2937,2,63,301.45,Potential Loyal Customers
2977,0,120,776.71,Loyal Customers
2981,3,20,524.82,Potential Loyal Customers
2982,0,75,970.7,Loyal Customers
2986,0,173,796.4,Loyal Customers
2988,1,88,656.48,Loyal Customers
2989,6,17,514.02,Potential Loyal Customers
2994,0,47,586.07,Potential Loyal Customers
3003,0,78,824.94,Loyal Customers
3004,0,22,533.46,Potential Loyal Customers
3008,0,79,1005.26,Loyal Customers
3023,1,36,814.94,Potential Loyal Customers
3027,3,31,228.97,Potential Loyal Customers
3028,0,61,519.99,Potential Loyal Customers
3038,1,105,951.5,Loyal Customers
3046,101,21,242.15,Need Attention
3050,11,11,274.64,Potential Loyal Customers
3054,3,29,431.59,Potential Loyal Customers
3064,11,37,503.12,Potential Loyal Customers
3065,5,39,291.73,Potential Loyal Customers
3066,1,75,575.99,Loyal Customers
3070,3,72,579,Potential Loyal Customers
3076,7,47,952.62,Potential Loyal Customers
3087,11,24,448.8,Potential Loyal Customers
3092,0,91,1959.54,Champions
3096,0,13,528.43,Potential Loyal Customers
3116,0,147,1354.4,Loyal Customers
3117,0,104,436.2,Loyal Customers
3122,0,177,866.09,Loyal Customers
3126,2,60,842.24,Potential Loyal Customers
3127,3,61,555.69,Potential Loyal Customers
3128,1,91,873.07,Loyal Customers
3139,0,53,1371.68,Champions
3144,0,47,870.78,Potential Loyal Customers
3145,6,17,256.67,Potential Loyal Customers
3148,0,32,273.14,Potential Loyal Customers
3149,9,38,595.72,Potential Loyal Customers
3152,18,18,1151.82,Potential Loyal Customers
3155,3,17,154.93,Potential Loyal Customers
3158,0,121,892.48,Loyal Customers
3165,0,105,778.9,Loyal Customers
3167,2,43,1024.33,Potential Loyal Customers
3168,10,17,195.46,Potential Loyal Customers
3170,2,41,470.41,Potential Loyal Customers
3172,0,53,1013.38,Potential Loyal Customers
3176,0,67,491.49,Potential Loyal Customers
3177,2,35,416.03,Potential Loyal Customers
3181,5,23,187.3,Potential Loyal Customers
3182,0,88,468.73,Loyal Customers
3193,1,57,292.51,Potential Loyal Customers
3196,55,90,614.18,Promising Customers
3200,1,36,344.46,Potential Loyal Customers
3202,0,81,934.77,Loyal Customers
3203,0,31,1951.11,Champions
3210,0,152,979.21,Loyal Customers
3213,2,35,1015.64,Potential Loyal Customers
3214,1,153,771.69,Loyal Customers
3218,43,4,109.9,Promising Customers
3230,4,70,1659.42,Champions
3243,1,39,2019.02,Champions
3269,6,18,383.04,Potential Loyal Customers
3278,2,36,614.16,Potential Loyal Customers
3289,51,15,291.99,Promising Customers
3293,0,46,845.32,Potential Loyal Customers
3311,0,43,335.81,Potential Loyal Customers
3315,105,28,381.65,Need Attention
3325,3,40,307.29,Potential Loyal Customers
3331,0,28,1367.09,Champions
3351,1,48,453.81,Potential Loyal Customers
3353,3,55,919.68,Potential Loyal Customers
3355,5,24,382.19,Potential Loyal Customers
3363,4,47,348.2,Potential Loyal Customers
3386,1,27,1263.47,Champions
3391,0,83,506.22,Loyal Customers
3394,2,54,466.42,Potential Loyal Customers
3395,128,7,205.88,Need Attention
3398,0,24,597.45,Potential Loyal Customers
3420,0,54,309.54,Potential Loyal Customers
3424,4,27,392.12,Potential Loyal Customers
3431,2,27,389.65,Potential Loyal Customers
3433,10,60,1905.49,Champions
3446,0,66,1436.1,Champions
3447,2,62,820.66,Potential Loyal Customers
3451,1,95,586.28,Loyal Customers
3452,0,100,767.84,Loyal Customers
3455,0,116,856.82,Loyal Customers
3457,113,32,115.9,Need Attention
3458,6,38,2107.22,Champions
3463,0,81,419.12,Loyal Customers
